fichier;annee;nombre;type;contexte
4_qst_4-qst-1969-09-27.txt;1969;924;lits;ssance précise des besoins réels de la nation en la matière. Pour ne citer que l'exemple des lits de maternité, dont le total est de 33 .082, dont 15.924 lits publics et 17 .158 lits privés, on peut estimer qu'à l 'échelon national et du seul point de vue quantitatif, les besoins sont satisfaits. Un
4_cri_1971-1972-ordinaire1_067.txt;1971;912;chambres;"té universitaire dont la quasi-totalité étaient recevables ont été présentées ; or. le centre régional des oeuvres universitaires ne dispose que de 3.912 chambres, ce qui repr .,ente à peu prés 10 p . 100 des ayants droit et cela malgré l 'ouverture en 1970 de 900 chambres supplé- mentaires. Il semb"
4_cri_1971-1972-ordinaire1_067.txt;1971;900;chambres;res universitaires ne dispose que de 3.912 chambres, ce qui repr .,ente à peu prés 10 p . 100 des ayants droit et cela malgré l 'ouverture en 1970 de 900 chambres supplé- mentaires. Il semble que Bordeaux soit la ville universitaire qui compte le plus bas pourcentage de France d'étudiants logés en c
7_cri_1984-1985-ordinaire1_080.txt;1984;900;logements;nhtions financières très insuffisantes (en aide à l 'accession, locatif social et logement tees social, qui n'ont permis de réaliser qu't peu plus de 900 logements par an. Certes, chacun est conscient de l'ampleur du retard accumulé. Mai., il est important de souligner cille la dotation D . O . M. e
4_cri_1969-1970-ordinaire1_033.txt;1969;880;places;iste 3300 places d'accueil en internat ou en foyer et 1.800 éducateurs pour environ 50 .000 mineurs jugés. D'ici à la fin de 1971, on disposera de 4 .880 places. Or l'éducation sur- veillée a besoin dès maintenant d'un minimum de 13.000 places. Les prévisions du V` Plan sont loin d'être réalisées et
4_qst_4-qst-1969-09-27.txt;1969;836;lits;ion comportant hospitalisation . En ce qui concerne l'année 1968, le nombre d'autorisations, délivrées au secteur privé s'est effectivement élevé à 4.836 lits pour les quatre catégories suivantes : chirurgie, maternité, médecine, repos et convalescence. Si ce chiffre ne représente guère plus de 30 p
4_cri_1972-1973-ordinaire1_063.txt;1972;800;places;que deux ouvriers d'Etat sur trois sont classés dans les catégories supérieures 3 et 4. En 1972, pour le concours, interne ou spécial, de contrôleur, 800 places sont offertes aux agents d 'exploitation masculins et 500 places aux agents féminins, alors que les femmes repré- sentent 77 p. 100 des age
5_cri_1974-1975-ordinaire1_046.txt;1974;800;chambres;des voyages. J'ajouterai encore quelques mots pour dire que, plus soucieuse de l'avenir, la Guadeloupe, qui, avec ses dépendances, dispose déjà de 1 800 chambres classées, met en chantier, à l'exemple des autres îles, un programme à long ternie de 3 000 chambres avec tous les aménagements touristiq
5_cri_1976-1977-ordinaire1_061.txt;1976;800;logements;s sont en cours de réalisation. Un plan de six ans est établi, à cet effet, par le ministère de l'intérieur et la ville de Paris. Dans la capitale, 1 800 logements H . L. M. — soit libérés, soit en cours de construction — seront fournis par la ville. Et 550 logements seront construits en proche banl
6_cri_1978-1979-ordinaire1_056.txt;1978;800;lits;laces de camping-caravaning. Or, selon l'estimation faite à partir des cré- dits inscrits dans le projet de budget, ne seront créés cette année que 4 800 lits en villages de vacances et 50 000 places de camping caravaning . C'est trop peul On constate d'ailleurs que les régions choisies pour les amé
5_cri_1975-1976-ordinaire1_057.txt;1975;793;chambres;meure d'un niveau convenable en dépit du fort accroissement de la capacité d'accueil. Cette dernière est tout à fait spectaculaire. Il y avait donc 1 793 chambres à la Guadeloupe à la fin de 1974. Il y en aura 3 175 à la fin de l'année. L'évolution est la même à la Martinique, où l'on compte aujourd
2_cri_1964-1965-ordinaire1_021.txt;1964;700;chambres;hôtels. Selon les prévisions du IV° plan — 1962-1965 — l'équipement hôtelier antillais devrait atteindre, à la fin de l'année 1965, une capacité de 1.700 chambres, à concurrence de 1.000 chambres en Guadeloupe et de 700 chambres en Martinique. Au début de l'année 1963, un hôtel de classe internation
2_cri_1964-1965-ordinaire1_021.txt;1964;700;chambres;t hôtelier antillais devrait atteindre, à la fin de l'année 1965, une capacité de 1.700 chambres, à concurrence de 1.000 chambres en Guadeloupe et de 700 chambres en Martinique. Au début de l'année 1963, un hôtel de classe internationale ouvrait ses portes en Guadeloupe, et un autre, de dimensions p
2_cri_1964-1965-ordinaire1_021.txt;1964;700;chambres;optées, de règle- ments établis, de rapports échangés, de missions d'études accom- plies, de crédits votés et pour quel résultat ? Sur une moyenne de 700 chambres pour la Martinique et de 1.000 chambres pour la Guadeloupe prévues pour la fin de 1965, 280 seulement ont été réalisées pour l'ensemble d
8_cri_1986-1987-ordinaire1_087.txt;1986;700;places;faibles . J'ai sous les yeux les chiffres, objectifs, de l'observatoire de santé de la région IIe-de-France : il manque, dans la région parisienne, 5 700 places d'hébergement pour personnes âgées dépen- dantes, et 5 000 invalides sont hébergés dans des hôpitaux - ce qui est une très mauvaise politiq
3_cri_1967-1968-ordinaire1_037.txt;1967;680;logements;ices de la préfecture n 'a pu être accepté en raison de la trop forte densité des logements prévus. t in nouveau projet, qui comporte un programme de 680 logements, dont 426 réservés aux fonctionnaires civils et militaires des armées et 254 logements Il . L. M., ainsi que différents services publics
6_cri_1979-1980-ordinaire1_113.txt;1979;650;chambres;au cours des cinq dernières années, en particulier aux Antilles, où la capacité hôtelière a doublé. Ainsi la Guadeloupe, qui disposait, en 1973, de 1 650 chambres, en compte 3 450 en 1978. On le constate : les départements d'outre-mer se développent rapidement, ainsi que vous l'avez vous-même rappel
4_cri_1971-1972-ordinaire1_067.txt;1971;600;chambres;"II appa- rait donc indispensable que les programmes refusés soient repris en priorité absolue dans le VI. Plan et que soient inscrites dès 1971 le .; 600 chambres qui devaient constituer à Talence le village n"" 6 dont l 'emplacement est depuis longtemps prévu dans le plan de masse du domaine univers"
5_cri_1973-1974-ordinaire1_014.txt;1973;600;lits;d 'avenir de l 'hôpital Emile-Roux, à Limeil-Brévannes (Val-de-Marne), afin de prendre les mesures en conséquence. Cet établissement, qui possède 1 .600 lits pour adultes, est aujourd'hui voué, compte tenu de sa vétusté et des conditions d 'hospitalisation, à recevoir exclusivement les malades chro
5_cri_1974-1975-ordinaire1_047.txt;1974;600;chambres;"uristes ; 1 438 chambres étaient en service à la fin de 1973 . I1 existe par ailleurs plusieurs projets de création d'hôtels pour un total de plus de 600 chambres. Votre commission de la production et des échanges soucieuse du développement économique de la Polynésie, a adopté une observation — dont"
5_qst_5-qst-1974-04-27.txt;1974;600;places;"cycle au cours de la présente légis- lature. Par ailleurs, la construction à Brétigny-sur- Orge d'un deuxième collège d 'enseignement secte.aaire, de 600 places, a été proposée par les autorité ;:=:i—, ,iques_ dans le -cadre des études relatives à la révision de la carte scolaire de : établissements"
5_cri_1977-1978-ordinaire1_048.txt;1977;565;logements;t leurs ressources. Elles sont aggravées à Boissy-Saint-Léger du fait d'une urbanisation accélérée, avec notamment la réalisation d'une Z. A. C. de 2 565 logements, qui entraîne une croissance très rapide de la population et la nécessité de réaliser à grand frais de nombreux équipements collectifs .
4_cri_1970-1971-ordinaire1_023.txt;1970;555;chambres;e vêtements, n'ont pas été développées. Quant à l'hôtellerie, malgré les gros efforts d'investissements accomplis depuis dix ans — de 1961 à 1969, 1 .555 chambres nouvelles ont été mises en service — la part du tourisme antil- lais dans l'ensemble du tourisme aux Caraïbes, avec 9 .000 tou- ristes en
5_cri_1976-1977-ordinaire1_061.txt;1976;550;logements;eur et la ville de Paris. Dans la capitale, 1 800 logements H . L. M. — soit libérés, soit en cours de construction — seront fournis par la ville. Et 550 logements seront construits en proche banlieue. L'ensemble de ces opérations . y compris celles qui sont directement entre- prises par le ministèr
3_cri_1967-1968-ordinaire1_037.txt;1967;543;lits;"ujours capable de le replacer dans un délai de quatre à cinq jours. En ce qui concerne le logement, le l',t?IIIDO .M dispose en transit de 220 lits ; 543 lits sont à sa disposition dans des foyers de jeunes travailleurs. Il s'agit là du placement de célibataires. En 1965, 86 logements 11 .1 .. M. av"
2_cri_1964-1965-ordinaire1_021.txt;1964;500;logements;ux départements. Ce doit être le rôle des sociétés de développement régional. En ce qui concerne la construction, on peut estimer que le chiffre de 6.500 logements annuels fixé par le Plan sera atteint, mais il ne peut s'agir là que d'un objectif minimum, compte tenu de la médiocrité de l'habitat et
2_cri_1964-1965-ordinaire1_021.txt;1964;500;chambres;nsions plus modestes, en Martinique. Le début de l'année 1964 a été marqué par l 'ouverture en Guadeloupe d'un deuxième hôtel de grand standing, soit 500 chambres, ce qui est bien peu si l'on songe que 25 .000 pas- sagers en croisière ont visité la Martinique. L'écart reste encore important entre ce
3_cri_1967-1968-ordinaire1_037.txt;1967;500;chambres;ent des délais supplémen- taires dans la réalisation des projets hôteliers. Les actions ainsi menées portent leurs fruits : au cours de l'année 1967, 500 chambres, réparties en huit hôtels ont été construites ou sont en construction à la Guadeloupe et à Saint- Martin. Des projets, très avancés, susc
3_cri_1967-1968-ordinaire1_037.txt;1967;500;logements;s-officiers et du petit personnel civil du ministère des aracées. Il lui demande, en conséquence, les raisons pour lesquelles un programme de prés de 500 logements se trouve paralysé par le retard apporté à la mise en valeur des sept hectares entourant le fort de Romainville et quelles mesures il co
4_cri_1969-1970-ordinaire1_033.txt;1969;500;places;es tribunaux pour enfants. Encore ces chiffres ne représentent-ils pas la réalité des besoins. Grâce aux constructions réalisées depuis 1962, c'est 3.500 places qui existent à l'heure actuelle, et 1 .384 places nouvelles sont financées et en cours de réalisation, ce qui fait qu'à la fin du V' Plan l
4_cri_1972-1973-ordinaire1_063.txt;1972;500;places;es supérieures 3 et 4. En 1972, pour le concours, interne ou spécial, de contrôleur, 800 places sont offertes aux agents d 'exploitation masculins et 500 places aux agents féminins, alors que les femmes repré- sentent 77 p. 100 des agents d 'exploitation. On pourrait citer l'exemple d'autres concour
5_cri_1975-1976-ordinaire1_038.txt;1975;500;logements;l'enseignement pré-élémentaire dans le quartier des Portes-Ferrées à Limoges . Dans ce quartier nouveau qui comporte un ensemble H. L. M. de plus de 500 logements existe une école maternelle qui, au début comportait quatre classes et qui, deux ans après (à la rentrée 1975) en compte sis, dont une e
6_cri_1978-1979-ordinaire1_050.txt;1978;500;places;. En ce qui concerne les tarifs promotionnels, Air France mettra en ligne, dès l'été pro- chain, sur Paris -New York, deux Boeing 747 offrant chacun 500 places, alors qu'actuellement ils ne comportent que 340 places. En diminuant ainsi le prix de revieat du transport, cette mesure devrait permettre
6_cri_1978-1979-ordinaire2_017.txt;1978;500;logements;"ion des infrastructures routières, aménagement de sept zones indus- trielles, humanisation de l 'hôpital de Gérardmer, acquisition et amélioration de 500 logements, réhabilitation de 500 logements. ..) ; renforcer les activités économiques du département et donner aux Vosges les moyens de leur dével"
6_cri_1978-1979-ordinaire2_017.txt;1978;500;logements;", aménagement de sept zones indus- trielles, humanisation de l 'hôpital de Gérardmer, acquisition et amélioration de 500 logements, réhabilitation de 500 logements. ..) ; renforcer les activités économiques du département et donner aux Vosges les moyens de leur développement industriel (suis vention"
6_qst_6-qst-1980-09-08.txt;1980;500;places;'ordre de 200 000 porcs par an. Dans le but de dévelo pper cette production (il y a actuellement en Ife-de-France une trentaine d'élevages de 50 à 1 500 places) et pour tenir compte des contraintes d 'ordre sanitaire qui sont imposées aux éleveurs (nécessité d 'un traitement thermique des déchets a
7_cri_1984-1985-ordinaire1_080.txt;1984;500;logements;"besoins . qui restera en phase de forte augmentation pendant encore SU moins dix ans. Au total . les besoins annuels di' la Guadeloupe s 'élèvent à 2 500 logements nouveaux soit 1 200 pour résorber l 'habitat insalubre . clans une hypothe ;e de résorption de l 'insalubrité sur dix ans ; et 1 300 pou"
4_cri_1969-1970-ordinaire1_033.txt;1969;476;logements;cent. Cependant, une enquête sur la demande de logements H. L. M. locatifs effectuée en juillet 1969 a révélé qu'il intéressait à l 'époque environ 3.476 logements. Le secrétaire d'Etat au logement, répondant le 28 octobre 1969 au Sénat à une question. tee: le avec débat, a donné par région un certa
5_cri_1976-1977-ordinaire2_024.txt;1976;444;lits;"ait savoir à l'honorable parlementaire que le programme d'établis- sement de l'hôpital d'Evry a été fixé par arrêté préfectoral du 27 février 1976' à 444 lits pour la première tranche, soit : médecine générale : 150 lits ; pédiatrie : 40 lits ; prématurés et néonatologie : 30 lits ; chirurgie généra"
5_cri_1974-1975-ordinaire1_047.txt;1974;438;chambres;"es hôtels a été de 70 p- 100, ce qui est très satisfaisant. Les investissements hôteliers se sont accrus pour répondre à la demande des touristes ; 1 438 chambres étaient en service à la fin de 1973 . I1 existe par ailleurs plusieurs projets de création d'hôtels pour un total de plus de 600 chambres"
5_cri_1975-1976-ordinaire1_038.txt;1975;426;places;ersecteur . donc de service pour arriérés pro- fonds. A noter que pour les autres types de handicaps dans le département, les besoins sont d 'environ 426 places pour les infirmes moteurs et infirmes moteurs cérébraux, de 55 places pour les aveu . gles et 85 places pour les déficients de la vue avec
4_cri_1970-1971-ordinaire1_023.txt;1970;400;places;réformation professionnelle, laquelle intéresse les jeunes de seize à dix-neuf ans, sont prometteurs : 58 centres, avec une capacité (l'accueil de 4 .400 places environ, fonctionnent, et il est encourageant de constater que les municipalités et les élus locaux participent activement à leur développe
5_cri_1976-1977-ordinaire2_051.txt;1976;400;logements;ectifs, logements sociaux et les résultats de la même politique d'austérité sur le revenu des ménages. Pourtant, d 'après le recensement de 1975, 294 400 logements sont surpeuplés, soit 23,3 p. 100. Ainsi 755990 habitants sont logés à l'étroit dans les Pays de la Loire . Cependant, 70 000 logements
7_cri_1984-1985-ordinaire1_080.txt;1984;400;logements;liser qu 'un peu plus de 90(1 logements par an, en L .'l' . S ., logement très social, en locatif social ou en aide à l'accession, soit donc de 200 à 400 logements pour chacune de ces catégories. Certes. nous en sommes bien conscients, un ample retard s'est accumulé au fil des ans : niais, il est im
4_cri_1969-1970-ordinaire1_033.txt;1969;384;places;représentent-ils pas la réalité des besoins. Grâce aux constructions réalisées depuis 1962, c'est 3.500 places qui existent à l'heure actuelle, et 1 .384 places nouvelles sont financées et en cours de réalisation, ce qui fait qu'à la fin du V' Plan la capacité d'accueil aura presque qua- druplé. Les
5_cri_1973-1974-ordinaire1_088.txt;1973;375;foyers;lidarités fixés, depuis le juillet 1973, à 6 .100 francs pour une personne vivant seule et à 9.600 francs pour un ménage. Au 31 juillet dernier, 507 .375 foyers bénéficiaient, à ce titre, de l'exemption. De nouvelles mesures d 'allégement, consistant par exemple à relever ces bases d 'exonération, n
6_cri_1978-1979-ordinaire1_050.txt;1978;340;places;ce mettra en ligne, dès l'été pro- chain, sur Paris -New York, deux Boeing 747 offrant chacun 500 places, alors qu'actuellement ils ne comportent que 340 places. En diminuant ainsi le prix de revieat du transport, cette mesure devrait permettre à Air France de proposer, sans risque de ASSEMBLEE NAT
4_cri_1968-1969-ordinaire1_050.txt;1968;330;chambres;cela a permis d'enregistrer des résultats encourageants. En effet, si le démarrage des nouveaux projets hôteliers a été assez long puisque seulement 330 chambres ont été mises en service aux Antilles en 1966 et 1967 et 330 sont en cours de construction, les projets, soit à l 'étude, soit au stade d
8_cri_1987-1988-ordinaire1_025.txt;1987;317;chambres;"son de l'insuffisance des capacités d'héberge- ment. Par exemple, dans notre département, nous avons actuellement 4 000 étudiants ; nous disposons de 317 chambres, dont une centaine est occupée par des étu- diants boursiers étrangers qui nous sont envoyés par la coo- pération pour effectuer leurs ét"
4_cri_1970-1971-ordinaire1_023.txt;1970;316;chambres;in, le V Plan sera marqué par l'apparition, clans ces dépar- tements, d'un embryon d'industrie hôtelière . Alors qu'en fin 1965, on ne dénombrait que 316 chambres, de classe internatio- nale, à la Guadeloupe, 146 à la Martinique, 134 à la Réunion et 30 à la Guyane, 614 ont été construites à la Marti
5_qst_5-qst-1975-07-19.txt;1975;300;logements;la carte professionnelle en cas de récidive. H. L. M. (attribution de prêts bonifiés pour remise en état mnatérieI au profit des groupes de moine, de 300 logements). 21453. — 19 juillet 1975. — M. Charles attire l'attention de M. le ministre de l 'équipement sur les besoins de remise en état matérie
5_qst_5-qst-1975-07-19.txt;1975;300;logements;ion divers aux établissements publics que sont les offices d'H . L. M. mais à condition que ces travaux concernent des groupes d 'H. L. M. de plus de 300 logements, tes prêts étant accordés par les caisses d'épargne et correspondant à 50 p. 100 de la dépense. Le groupe de la cité Verte IL L . M. de
5_qst_5-qst-1975-07-19.txt;1975;300;logements;ovembre 1972 afin que des prêts bonifiés puissent être accordés aux établissements publics offices d 'H.L .M. pour les groupes d'H .L .M. de moins de 300 logements, de manière à ce que leurs habitants puissent être logés décemment en contrepartie des charges et loyers très import tants supportés men
5_cri_1975-1976-ordinaire1_038.txt;1975;256;places;infirmes moteurs et infirmes moteurs cérébraux, de 55 places pour les aveu . gles et 85 places pour les déficients de la vue avec troubles associés, 256 places pour les déficients de l'ouïe . Les arrondissements de Béthune, Boulogne, Calais, Lens. Montreuil-sur-Mer sont dépourvus d'établissements p
3_cri_1967-1968-ordinaire1_037.txt;1967;254;logements;ents prévus. t in nouveau projet, qui comporte un programme de 680 logements, dont 426 réservés aux fonctionnaires civils et militaires des armées et 254 logements Il . L. M., ainsi que différents services publics, est maintenant en cours d 'étude. Ce dossier respecte les directives générales concer
6_cri_1978-1979-ordinaire1_050.txt;1978;251;places;car nous ne voulons porter tort à personne . Mais quand nous constatons que Nice obtient 571 escales pou r 805 250 places, contre 143 escales et 188 251 places pour nous, je pense que cette répartition n'est peut-être pas excellente. Soyez donc notre avocat pour que l'ensemble des gens qui vivent a
6_cri_1978-1979-ordinaire1_050.txt;1978;250;places;ne demandons pas le retour à ce passé, car nous ne voulons porter tort à personne . Mais quand nous constatons que Nice obtient 571 escales pou r 805 250 places, contre 143 escales et 188 251 places pour nous, je pense que cette répartition n'est peut-être pas excellente. Soyez donc notre avocat pou
8_cri_1986-1987-ordinaire1_086.txt;1986;250;logements;social, ajoutée à la participation des individus, à celle des collecti- vités locales, de la caisse d'allocations familiales, la construc- tion de 5 250 logements sociaux par an. Nous en attendons des emplois et un grand effet d'entraînement, selon l'adage « quand le bâtiment va, tout va ». Pour la
3_cri_1967-1968-ordinaire1_037.txt;1967;245;foyers;"à Saint-Fons ; Rhône(, dans un groupe d 'H. L. M. appartenant à l'office départemental d ' H . L . M .. aux Grandes Terres, avenue de la République, 245 foyers représentants environ 80 p. 100 des locataires de cet ensemble cet signé une pétition adressée à la direction de l 'office départe- mental"
3_cri_1967-1968-ordinaire1_037.txt;1967;245;logements;essée à l 'office dépar- temental d'II. L. M. du Rhône en niai 1967, signée par 208 loca- taires de l'ensemble immobilier (le Saint-Fons qui comprend 245 logements. L 'office ayant demandé à l 'entreprise concession- naire de l 'exploitation de procéder à un réglage général, il est apparu à cette oc
5_cri_1975-1976-ordinaire1_057.txt;1975;245;chambres;mbres à la Guadeloupe à la fin de 1974. Il y en aura 3 175 à la fin de l'année. L'évolution est la même à la Martinique, où l'on compte aujourd'hui 2 245 chambres contre 1 559 à Noël dernier. Quelques difficultés sont à noter pour les hôtels qui travail- laient avec les lignes américaines de la Pan
5_cri_1975-1976-ordinaire1_038.txt;1975;240;places;vue à Saint-Quentin-en-Yvelines et qui accueillera les sections de l 'école hôtelliére fonctionnant actuelle- ment à Paris, comportera un internat de 240 places. Constructions scolaires (futur bâtiment du rectorat de l'académie de Lyon) 22572 . — 20 septembre 1975. — M. Cousté rappelle à M . le mini
3_cri_1967-1968-ordinaire1_037.txt;1967;234;logements;En 1965, 86 logements 11 .1 .. M. avaient été affectés au BUMIDOM, en 1966 : 94, en 1967 : 110. et en 1968 : 350 le seront. A ces chiffres s'ajoutent 234 logements Il . L . M . mis à la disposition du BUMiDOiI à la suite de la décision d'un comité inter- ministériel de 1963. 710 prêts d'établi,euren
4_cri_1968-1969-ordinaire1_050.txt;1968;230;chambres;. Les objectifs seront aussi dépassés à Saint-Martin où les deux hôtels les plus importants augmenteront à eux seuls le potentiel hôtelier d'au moins 230 chambres, dont 150 au titre de la première tranche des travaux de la société hôtelière de la baie de Marigot. Par ailleurs, l'aboutissement de plu
6_cri_1978-1979-ordinaire1_050.txt;1978;230;places;issant ces deux types d'avion, a placé les matériels qu'il a conçus dans un créneau où 2 500 appareils gros porteurs moyens courriers de 180 à 260 ou 230 places peuvent trouver preneur dans les deux décennies qui viennent. De plus, les compagnies, pour diminuer leurs frais de fonc- tionnement, désir
5_cri_1976-1977-ordinaire2_024.txt;1976;228;logements;"aution particulière et à l 'économie, la résidence de Mare Joyette, à Elancourt, fait aujourd'huit l'objet d'un grave conflit entre les occupants des 228 logements et la ""société propriétaire . Il apparaît que la remise en état des logements risque de coûter plus cher que la démolition de tout cet e"
3_cri_1967-1968-ordinaire1_037.txt;1967;220;lits;"DO,1 est toujours capable de le replacer dans un délai de quatre à cinq jours. En ce qui concerne le logement, le l',t?IIIDO .M dispose en transit de 220 lits ; 543 lits sont à sa disposition dans des foyers de jeunes travailleurs. Il s'agit là du placement de célibataires. En 1965, 86 logements 11"
4_cri_1968-1969-ordinaire1_050.txt;1968;200;chambres;"récentes, l 'ouverture d'une chambre d'hôtel entraîne la création d'un emploi et demi direct et d'un emploi et demi indirect. C 'est ainsi que les 1 .200 chambres prévues à la Martinique, au titre du V"" Plan, procureront 3 .600 emplois nouveaux, et il est probable que ce chiffre sera dépassé. Il est"
4_cri_1971-1972-ordinaire1_024.txt;1971;200;places;es plus beaux VI' Plan, la capacité d'accueil dans les C. E. T. doit être fleurons de la République dans cette zone de l'océan Indien. augmentée de 1.200 places. (Applaudissements sur les bancs de l'union des démocrates C'est également sous l'égide d'organismes contrôlés par le pour la Républiqu e e
5_qst_5-qst-1974-04-27.txt;1974;200;places;"élèves : 48120 places dans le premier cycle ; 21 996 places dans le second cycle. Le programme d 'équipement pour 1974 prévoit la réali- sation de 3 200 places supplémentaires de premier cycle . Par ailleurs, , la construction du collège d'enseignement secondaire de Bessancourt ne figurait pas au p"
6_cri_1978-1979-ordinaire1_050.txt;1978;200;places;seront transférés à Toulouse. La pre- mière tranche de ce transfert qui couvre ces cieux organismes Il pensait, en l'occurren 170 à 180 places, et à 200 places. En fait, une priorité a élu' donnée à tut modèle plutôt qu'à un antre, sans pour autant que ce decuici' suit uhan lt,nn :t. Au départ. la
6_cri_1978-1979-ordinaire1_050.txt;1978;200;places;strie aéronauli(p!e, !nais pour les vendre. el, il se trouve que los compagnies aériennes :'.aient plus iniérc s des par l'avion nui e n- courrier de 200 places que par le Jet d'une capacité moindre On a dune préféré se donner un dé lai de rifle:.ion pour la construction du del, alors que le A 310 a
7_cri_1984-1985-ordinaire1_080.txt;1984;200;place;hénomènes antérieurs. notamment climatiques . ou corres- pendent à un affaiblissement progressif et insidieux de la vigueur des arbres . A cet effet, 200 placettes de sapin, dont l'écologie avait été étudiée antérieurement . ont fait l 'objet de notations de défoliation. En même temps, des prélèveme
8_cri_1987-1988-ordinaire1_025.txt;1987;200;chambres;pée par des étu- diants boursiers étrangers qui nous sont envoyés par la coo- pération pour effectuer leurs études à la Réunion. Il ne reste donc que 200 chambres pour les Réunionnais. Il faudra par conséquent, à l'occasion, demander au ministère de la coopé- ration, avec lequel j 'ai rendez-vous, u
6_cri_1978-1979-ordinaire1_050.txt;1978;180;places;et de recherches seront transférés à Toulouse. La pre- mière tranche de ce transfert qui couvre ces cieux organismes Il pensait, en l'occurren 170 à 180 places, et à 200 places. En fait, une priorité a élu' donnée à tut modèle plutôt qu'à un antre, sans pour autant que ce decuici' suit uhan lt,nn :
6_cri_1979-1980-ordinaire1_032.txt;1979;160;places;ements à cet égard. Un orateur précédent a cité le cas d'un créneau qui demeure vitr celui de l'avion de 120-130 places, de préférence à celui de 150-160 places. Ce marché mondial porte sur 1 000 ou 1 500 avion .,. Nous lancerons-nous dans cette voie, dans le cadre d'une coopé- ration européenne, co
4_qst_4-qst-1969-09-27.txt;1969;158;lits;ns réels de la nation en la matière. Pour ne citer que l'exemple des lits de maternité, dont le total est de 33 .082, dont 15.924 lits publics et 17 .158 lits privés, on peut estimer qu'à l 'échelon national et du seul point de vue quantitatif, les besoins sont satisfaits. Un lit de maternité permet
3_cri_1967-1968-ordinaire1_037.txt;1967;150;chambres;struction à la Guadeloupe et à Saint- Martin. Des projets, très avancés, susceptibles de se réaliser dans un délai de deux à cinq ans, portent sur 1 .150 chambres environ, réparties entre six hôtels à la Martinique, deux à la Guadeloupe, deux en Guyane, deux à la Réunion, non compris un projet de vi
